Currency,FX Score,Lower Level,Upper Level,SR Filter
GBPJPY,4,152.40199279785156,153.40499877929688,BUY WATCHLIST
GBPUSD,0,1.3975900411605835,1.4116899967193604,BUY WATCHLIST
GBPAUD,4,1.797510027885437,1.8097599744796755,BUY WATCHLIST
NZDCAD,0,0.8747699856758118,0.8811200261116028,SELL WATCHLIST
AUDCAD,0,0.944249987602234,0.9511600136756896,SELL WATCHLIST
AUDCHF,-4,0.7012799978256226,0.7056099772453308,SELL WATCHLIST
CHFJPY,8,120.1719970703125,121.0739974975586,BUY WATCHLIST
AUDNZD,-2,1.07423996925354,1.0787800550460815,SELL WATCHLIST
AUDUSD,-4,0.763700008392334,0.7724599838256836,SELL WATCHLIST
EURCAD,2,1.4581600427627563,1.4715499877929688,SELL WATCHLIST
EURCHF,-6,1.0923000574111938,1.096519947052002,SELL WATCHLIST
USDCAD,1,1.2044700384140017,1.2192699909210205,SELL WATCHLIST
CADCHF,-2,0.7416700124740601,0.7486299872398376,SELL WATCHLIST
EURGBP,0,0.8519499897956848,0.8622999787330627,SELL WATCHLIST
AUDJPY,0,84.14199829101562,84.81600189208984,SELL WATCHLIST
USDJPY,6,109.23999786376952,109.95500183105467,BUY WATCHLIST
USDCHF,-6,0.8980799913406372,0.9093199968338012,SELL WATCHLIST
